1320,66000,-9059.21,-2868.81,0.00
1330,66500,-9511.61,-3019.85,0.00
1340,67000,-10192.46,-3246.87,0.00
1350,67500,-11144.18,-3563.52,0.00
1360,68000,-9937.67,-3160.68,0.00
1370,68500,-9409.43,-2985.25,0.00
1380,69000,-10970.43,-3506.56,0.00
1390,69500,-9419.35,-2989.51,0.00
1400,70000,-8817.16,-2788.45,0.00
1410,70500,-10416.70,-3318.14,0.00
1420,71000,-10723.37,-3424.29,0.00
1430,71500,-9849.82,-3133.01,0.00
1440,72000,-9298.56,-2948.90,0.00
1450,72500,-9360.49,-2969.74,0.00
1460,73000,-8661.75,-2737.19,0.00
1470,73500,-9645.85,-3062.81,0.00
1480,74000,-9902.70,-3150.64,0.00
1490,74500,-9109.80,-2885.53,0.00
1500,75000,-9590.91,-3044.63,0.00
1510,75500,-9944.08,-3164.21,0.00
1520,76000,-9595.49,-3047.17,0.00
1530,76500,-9523.66,-3023.65,0.00
1540,77000,-9384.14,-2975.21,0.00
1550,77500,-9394.87,-2981.57,0.00
1560,78000,-9489.12,-3011.11,0.00
1570,78500,-9114.14,-2888.03,0.00
1580,79000,-9335.09,-2961.67,0.00
1590,79500,-9165.32,-2904.04,0.00
1600,80000,-10423.60,-3324.13,0.00
1610,80500,-10248.64,-3266.18,0.00
1620,81000,-10079.42,-3209.53,0.00
1630,81500,-9681.56,-3076.71,0.00
1640,82000,-9195.08,-2914.90,0.00
1650,82500,-10367.26,-3305.66,0.00
1660,83000,-8951.86,-2833.70,0.00
1670,83500,-10433.63,-3326.88,0.00
1680,84000,-9522.68,-3023.15,0.00
1690,84500,-10323.30,-3290.45,0.00
1700,85000,-10042.71,-3196.32,0.00
1710,85500,-9534.82,-3028.14,0.00
1720,86000,-9453.87,-3000.36,0.00
1730,86500,-9466.06,-3004.85,0.00
1740,87000,-10252.31,-3266.98,0.00
1750,87500,-9595.97,-3048.12,0.00
1760,88000,-9786.48,-3111.36,0.00
1770,88500,-8830.39,-2793.35,0.00
1780,89000,-9897.20,-3148.42,0.00
1790,89500,-10925.66,-3490.03,0.00
1800,90000,-9780.95,-3109.21,0.00
1810,90500,-10537.00,-3362.13,0.00
1820,91000,-9828.95,-3126.25,0.00
1830,91500,-9449.87,-2999.25,0.00
1840,92000,-9529.11,-3026.37,0.00
1850,92500,-11147.08,-3565.64,0.00
1860,93000,-9953.75,-3167.54,0.00
1870,93500,-10650.92,-3400.26,0.00
1880,94000,-10085.85,-3211.69,0.00
1890,94500,-10046.65,-3195.87,0.00
1900,95000,-9833.40,-3125.56,0.00
1910,95500,-10229.79,-3259.23,0.00
1920,96000,-10864.65,-3471.14,0.00
1930,96500,-10568.43,-3370.35,0.00
1940,97000,-10120.53,-3221.83,0.00
1950,97500,-10680.23,-3409.99,0.00
1960,98000,-10293.03,-3280.64,0.00
1970,98500,-9956.16,-3168.42,0.00
1980,99000,-10728.61,-3425.98,0.00
1990,99500,-10542.55,-3364.08,0.00
2000,100000,-10252.41,-3266.84,0.00
2010,100500,-10416.30,-3321.13,0.00
2020,101000,-10172.34,-3240.67,0.00
2030,101500,-9317.67,-2955.56,0.00
2040,102000,-9649.99,-3066.18,0.00
2050,102500,-9038.49,-2861.63,0.00
2060,103000,-8900.61,-2815.85,0.00
2070,103500,-10642.84,-3397.60,0.00
2080,104000,-10818.70,-3456.13,0.00
2090,104500,-10482.93,-3343.71,0.00
2100,105000,-9757.30,-3101.36,0.00
2110,105500,-9512.49,-3020.00,0.00
2120,106000,-9140.00,-2896.62,0.00
2130,106500,-10770.07,-3440.01,0.00
2140,107000,-10416.33,-3320.79,0.00
2150,107500,-9173.54,-2905.45,0.00
2160,108000,-9026.33,-2858.11,0.00
2170,108500,-10852.06,-3466.28,0.00
2180,109000,-9946.30,-3164.76,0.00
2190,109500,-9386.72,-2978.34,0.00
2200,110000,-10165.90,-3238.57,0.00
2210,110500,-9878.61,-3142.27,0.00
2220,111000,-10755.69,-3434.42,0.00
2230,111500,-9658.84,-3068.21,0.00
2240,112000,-9749.45,-3096.95,0.00
2250,112500,-9572.36,-3039.06,0.00
2260,113000,-10522.18,-3357.39,0.00
2270,113500,-10221.66,-3256.75,0.00
2280,114000,-9884.34,-3144.29,0.00
2290,114500,-10306.25,-3285.34,0.00
2300,115000,-9292.39,-2946.90,0.00
2310,115500,-10342.83,-3297.22,0.00
2320,116000,-9409.27,-2985.62,0.00
2330,116500,-9976.26,-3175.30,0.00
2340,117000,-9244.11,-2930.92,0.00
2350,117500,-9415.61,-2986.99,0.00
2360,118000,-10009.95,-3186.42,0.00
